Prog,Lit,Intervalo,Metric,Time,Mass
0,a_5,"[0,0009-1,0000]",0.0011,24.47,0.0037
1,a_18,"[0,0365-0,7279]",0.3118,27.50,0.3104
9,~d_38,"[0,0311-1,0000]",0.0344,31.52,0.0444
9,a_18,"[0,0133-0,9746]",0.0449,35.86,0.0444
11,a_19,"[0,1361-0,9996]",0.1654,35.57,0.1594
11,a_20,"[0,0016-0,8538]",0.1572,33.76,0.1594
12,d_59,"[0,0039-1,0000]",0.0042,31.97,0.0320
12,~a_11,"[0,0320-1,0000]",0.0353,31.51,0.0320
12,a_19,"[0,0117-0,9947]",0.0189,36.31,0.0320
13,~a_15,"[0,0000-0,9889]",0.0111,33.98,0.0111
15,a_3,"[0,0386-1,0000]",0.0413,31.49,0.0386
17,d_68,"[0,0353-1,0000]",0.0384,31.03,0.0383
21,d_68,"[0,0386-1,0000]",0.0402,31.80,0.0386
22,d_74,"[0,0000-1,0000]",0.0000,32.42,0.0000
22,a_17,"[0,0000-1,0000]",0.0000,36.14,0.0000
24,d_52,"[0,0025-1,0000]",0.0030,32.16,0.0184
24,~a_21,"[0,0102-0,9991]",0.0131,41.00,0.0184
25,~a_15,"[0,0011-0,9992]",0.0023,42.80,0.0041
28,~d_31,"[0,2081-1,0000]",0.2146,32.46,0.2405
29,d_76,"[0,1174-1,0000]",0.1174,32.69,0.1174
30,d_32,"[0,0036-1,0000]",0.0038,32.60,0.0052
30,~a_19,"[0,0043-0,9996]",0.0053,36.72,0.0052
31,~d_48,"[0,0052-1,0000]",0.0056,31.95,0.0054
33,~d_59,"[0,0625-1,0000]",0.0691,32.06,0.0634
33,a_15,"[0,0017-0,9383]",0.0634,39.49,0.0634
33,a_19,"[0,0466-0,9917]",0.0605,35.03,0.0634
34,d_42,"[0,1359-1,0000]",0.1405,31.28,0.1380
34,a_12,"[0,1363-1,0000]",0.1593,30.94,0.1380
35,d_69,"[0,0771-1,0000]",0.0771,31.33,0.0771
35,a_13,"[0,0732-1,0000]",0.0872,31.02,0.0771
38,d_31,"[0,0000-1,0000]",0.0000,32.10,0.1008
39,d_46,"[0,0549-1,0000]",0.0572,32.34,0.0554
40,~d_63,"[0,0473-1,0000]",0.0478,32.10,0.0475
40,a_17,"[0,0188-0,9899]",0.0322,37.11,0.0475
41,d_24,"[0,0131-1,0000]",0.0139,32.03,0.0134
42,a_21,"[0,0011-0,9918]",0.0096,32.26,0.0096
42,a_19,"[0,0075-0,9994]",0.0084,34.84,0.0096
43,a_12,"[0,2838-1,0000]",0.2956,30.61,0.2838
43,~a_18,"[0,0003-0,7408]",0.3069,32.31,0.2838
